Date,Daily.Count
15-Jun,11190
16-Jun,9774
17-Jun,12444
18-Jun,8586
19-Jun,11706
20-Jun,12302
21-Jun,15864
22-Jun,12300
23-Jun,16704
24-Jun,23742
25-Jun,14928
26-Jun,15900
27-Jun,17586
28-Jun,20418
29-Jun,24048
30-Jun,28392
1-Jul,34788
2-Jul,33558
3-Jul,36546
4-Jul,24622.7027
5-Jul,35287
6-Jul,25698
7-Jul,27996
8-Jul,41568
9-Jul,32610
10-Jul,24858
11-Jul,18630
12-Jul,17298
13-Jul,14106
14-Jul,21222
15-Jul,32124
16-Jul,44526
17-Jul,27330
18-Jul,18390
19-Jul,32706
20-Jul,36768
21-Jul,22764
22-Jul,27026
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
28-Jul,
29-Jul,
30-Jul,
31-Jul,
1-Aug,
2-Aug,
3-Aug,
4-Aug,
5-Aug,
6-Aug,
7-Aug,
8-Aug,
9-Aug,
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
